Car Name,Year,Selling Price,Kilometer Driven,Fuel Type,Seller Type,Transminssion,Owner,KM Range,Car Age,Price per KM,Condition
Volkswagen Polo 2015-2019 1.2 MPI Highline,2017,650000,44000,Petrol,Dealer,Manual,First Owner,25–50k,8,14.772727272727273,New
Toyota Etios VD,2014,670000,39895,Diesel,Dealer,Manual,First Owner,25–50k,11,16.794084471738312,Old
Chevrolet Cruze LTZ AT,2017,950000,73000,Diesel,Dealer,Automatic,First Owner,50–75k,8,13.013698630136986,New
Honda City i-VTEC SV,2014,690000,17000,Petrol,Dealer,Manual,First Owner,0–25k,11,40.588235294117645,Old
Volkswagen Polo 2015-2019 1.2 MPI Highline,2017,670000,18591,Petrol,Dealer,Manual,First Owner,0–25k,8,36.03894357484805,New
Tata Nexon 1.5 Revotorq XZ,2017,925000,26766,Diesel,Dealer,Manual,First Owner,25–50k,8,34.558768587013375,New
Hyundai EON Magna Plus,2015,250000,30000,Petrol,Individual,Manual,First Owner,25–50k,10,8.333333333333334,Old
Tata Sumo Gold EX,2016,509999,42000,Diesel,Individual,Manual,First Owner,25–50k,9,12.142833333333334,New
Honda City i DTEC VX,2014,520000,110000,Diesel,Individual,Manual,First Owner,100–150k,11,4.7272727272727275,Old
Tata Indica DLE,2005,100000,100000,Diesel,Individual,Manual,First Owner,75–100k,20,1.0,Old
Tata Indica DLS,2006,85000,300000,Diesel,Individual,Manual,Second Owner,200k+,19,0.2833333333333333,Old
Tata Indigo LX,2009,130000,110000,Diesel,Individual,Manual,Third Owner,100–150k,16,1.1818181818181819,Old
Ford EcoSport 1.5 TDCi Titanium BSIV,2018,950000,27620,Diesel,Dealer,Manual,First Owner,25–50k,7,34.39536567704562,New
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,450000,70000,Petrol,Individual,Manual,First Owner,50–75k,10,6.428571428571429,Old
Honda City S,2012,320000,50000,Petrol,Individual,Manual,Second Owner,25–50k,13,6.4,Old
Maruti Swift Dzire VDI,2015,480000,50000,Diesel,Individual,Manual,First Owner,25–50k,10,9.6,Old
Mercedes-Benz New C-Class C 220 CDI Grand Edition,2014,2490000,46000,Diesel,Individual,Automatic,First Owner,25–50k,11,54.130434782608695,Old
Toyota Innova 2.5 VX 8 STR,2012,790000,82000,Diesel,Individual,Manual,First Owner,75–100k,13,9.634146341463415,Old
Maruti Omni MPI STD BSIV,2016,120000,120000,Petrol,Individual,Manual,First Owner,100–150k,9,1.0,New
Maruti Alto LXi,2006,75000,80000,Petrol,Individual,Manual,Third Owner,75–100k,19,0.9375,Old
Tata Indica GLS BS IV,2010,99000,70000,Petrol,Individual,Manual,First Owner,50–75k,15,1.4142857142857144,Old
Maruti S-Cross Zeta DDiS 200 SH,2018,1015000,20000,Diesel,Individual,Manual,First Owner,0–25k,7,50.75,New
Mahindra Xylo D4 BSIV,2013,250000,200000,Diesel,Individual,Manual,Second Owner,150–200k,12,1.25,Old
Toyota Innova Crysta 2.5 VX BS IV,2011,520000,120000,Diesel,Individual,Manual,First Owner,100–150k,14,4.333333333333333,Old
Hyundai Verna CRDi 1.6 AT SX Option,2018,1100000,30000,Diesel,Individual,Automatic,First Owner,25–50k,7,36.666666666666664,New
Toyota Innova 2.5 V Diesel 7-seater,2005,200000,223000,Diesel,Individual,Manual,First Owner,200k+,20,0.8968609865470852,Old
Maruti Swift Dzire VDI,2016,525000,60000,Diesel,Individual,Manual,First Owner,50–75k,9,8.75,New
Hyundai i20 Asta 1.2,2016,500000,40000,Petrol,Individual,Manual,First Owner,25–50k,9,12.5,New
Mahindra Scorpio S2 7 Seater,2016,675000,161327,Diesel,Individual,Manual,First Owner,150–200k,9,4.18404854736033,New
Hyundai i10 Magna 1.2 iTech SE,2009,150000,60000,Petrol,Individual,Manual,Third Owner,50–75k,16,2.5,Old
Mahindra Bolero DI,2007,250000,50000,Diesel,Individual,Manual,First Owner,25–50k,18,5.0,Old
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,450000,6000,Petrol,Individual,Manual,First Owner,0–25k,7,75.0,New
Hyundai Santro Xing XS,2009,150000,68000,Petrol,Individual,Manual,Second Owner,50–75k,16,2.2058823529411766,Old
Chevrolet Beat Diesel LS,2012,200000,85000,Diesel,Individual,Manual,First Owner,75–100k,13,2.3529411764705883,Old
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,525000,70000,Diesel,Individual,Automatic,First Owner,50–75k,14,7.5,Old
Maruti Esteem VX,1999,60000,35000,Petrol,Individual,Manual,Second Owner,25–50k,26,1.7142857142857142,Old
Maruti Swift Vdi BSIII,2010,180000,100000,Diesel,Individual,Manual,Second Owner,75–100k,15,1.8,Old
Honda Amaze S i-Dtech,2015,475000,110000,Diesel,Individual,Manual,First Owner,100–150k,10,4.318181818181818,Old
Mahindra Scorpio VLS AT 2.2 mHAWK,2010,380000,195000,Diesel,Individual,Automatic,Second Owner,150–200k,15,1.9487179487179487,Old
Maruti Alto 800 LXI,2015,285000,46000,Petrol,Individual,Manual,Second Owner,25–50k,10,6.195652173913044,Old
Maruti Alto LXi BSIII,2008,91200,60000,Petrol,Individual,Manual,Second Owner,50–75k,17,1.52,Old
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,25–50k,8,5.434782608695652,New
Hyundai Grand i10 CRDi Sportz,2015,400000,42000,Diesel,Individual,Manual,First Owner,25–50k,10,9.523809523809524,Old
Hyundai Santro Xing XG AT,2006,160000,90000,Petrol,Individual,Automatic,Second Owner,75–100k,19,1.7777777777777777,Old
Skoda Yeti Ambition 4X2,2012,650000,85000,Diesel,Individual,Manual,Second Owner,75–100k,13,7.647058823529412,Old
Hyundai Verna 1.6 SX,2012,409999,120000,Diesel,Individual,Manual,Third Owner,100–150k,13,3.4166583333333334,Old
Ford Ecosport 1.5 DV5 MT Titanium,2013,425000,72000,Diesel,Individual,Manual,First Owner,50–75k,12,5.902777777777778,Old
Maruti Wagon R LXI CNG,2013,250000,71000,CNG,Individual,Manual,Second Owner,50–75k,12,3.5211267605633805,Old
Maruti Swift Dzire VXi,2009,200000,110000,Petrol,Individual,Manual,Fourth & Above Owner,100–150k,16,1.8181818181818181,Old
Maruti Wagon R LXI CNG,2013,250000,71000,CNG,Individual,Manual,Second Owner,50–75k,12,3.5211267605633805,Old
Volkswagen Polo Diesel Trendline 1.2L,2010,130000,144000,Diesel,Individual,Manual,Fourth & Above Owner,100–150k,15,0.9027777777777778,Old
Maruti Eeco 5 Seater AC BSIV,2017,260000,30000,Petrol,Dealer,Manual,First Owner,25–50k,8,8.666666666666666,New
Hyundai Verna SX,2007,155000,65000,Petrol,Dealer,Manual,First Owner,50–75k,18,2.3846153846153846,Old
Honda Jazz 1.5 VX i DTEC,2015,450000,38000,Diesel,Individual,Manual,First Owner,25–50k,10,11.842105263157896,Old
Maruti SX4 Celebration Petrol,2012,220000,90000,Petrol,Individual,Manual,Second Owner,75–100k,13,2.4444444444444446,Old
Hyundai i20 Active S Diesel,2018,650000,37000,Diesel,Dealer,Manual,First Owner,25–50k,7,17.56756756756757,New
Maruti Alto 800 LXI,2018,285000,30000,Petrol,Dealer,Manual,First Owner,25–50k,7,9.5,New
Honda Amaze V CVT Petrol BSIV,2018,725000,26000,Petrol,Dealer,Automatic,First Owner,25–50k,7,27.884615384615383,New
Maruti Ciaz ZXi,2016,625000,30000,Petrol,Dealer,Manual,First Owner,25–50k,9,20.833333333333332,New
Hyundai i20 Active SX Petrol,2016,550000,23000,Petrol,Dealer,Manual,First Owner,0–25k,9,23.91304347826087,New
Hyundai i10 Magna,2012,240000,40000,Petrol,Dealer,Manual,First Owner,25–50k,13,6.0,Old
Nissan Terrano XL 85 PS,2014,600000,27000,Diesel,Dealer,Manual,First Owner,25–50k,11,22.22222222222222,Old
Tata New Safari DICOR 2.2 EX 4x2,2012,350000,65000,Diesel,Dealer,Manual,First Owner,50–75k,13,5.384615384615385,Old
Hyundai EON Magna Plus,2015,245000,32000,Petrol,Dealer,Manual,First Owner,25–50k,10,7.65625,Old
Mahindra Bolero B6,2016,600000,56000,Diesel,Dealer,Manual,First Owner,50–75k,9,10.714285714285714,New
BMW X1 sDrive 20d xLine,2017,2400000,30000,Diesel,Individual,Automatic,First Owner,25–50k,8,80.0,New
Mahindra Scorpio SLE BS IV,2014,620000,80000,Diesel,Dealer,Manual,First Owner,75–100k,11,7.75,Old
Maruti Swift Dzire 1.2 Vxi BSIV,2014,395000,52000,Petrol,Dealer,Manual,Second Owner,50–75k,11,7.596153846153846,Old
Maruti Ertiga ZXI,2014,635000,13250,Petrol,Dealer,Manual,First Owner,0–25k,11,47.924528301886795,Old
Maruti Alto LX,2011,180000,36000,Petrol,Dealer,Manual,First Owner,25–50k,14,5.0,Old
Maruti Swift ZDI Plus,2015,484999,73000,Diesel,Dealer,Manual,Second Owner,50–75k,10,6.643821917808219,Old
Maruti Alto LX,2004,110000,60000,Petrol,Individual,Manual,First Owner,50–75k,21,1.8333333333333333,Old
Maruti Wagon R VXI BSIII,2006,150000,60000,Petrol,Individual,Manual,Second Owner,50–75k,19,2.5,Old
Chevrolet Tavera Neo 2 LT L 9 Str,2012,400000,110000,Diesel,Individual,Manual,First Owner,100–150k,13,3.6363636363636362,Old
Tata Indica Vista Aura Plus 1.3 Quadrajet,2012,200000,70000,Diesel,Individual,Manual,Second Owner,50–75k,13,2.857142857142857,Old
Renault Duster 85PS Diesel RxL Plus,2013,302000,60000,Diesel,Individual,Manual,Second Owner,50–75k,12,5.033333333333333,Old
Maruti Swift Dzire Vdi BSIV,2011,215000,90000,Diesel,Individual,Manual,Fourth & Above Owner,75–100k,14,2.388888888888889,Old
Maruti Wagon R VXI BSIII,2004,155000,80000,Petrol,Individual,Manual,Second Owner,75–100k,21,1.9375,Old
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,1000000,101000,Diesel,Individual,Manual,Second Owner,100–150k,11,9.900990099009901,Old
Mahindra Bolero Power Plus SLX,2018,550000,44000,Diesel,Individual,Manual,First Owner,25–50k,7,12.5,New
Maruti Swift 1.3 VXi,2006,200000,45000,Petrol,Individual,Manual,First Owner,25–50k,19,4.444444444444445,Old
Mahindra Scorpio S2 7 Seater,2017,750000,120000,Diesel,Individual,Manual,First Owner,100–150k,8,6.25,New
Maruti Zen LXI,2005,90000,90000,Petrol,Individual,Manual,Second Owner,75–100k,20,1.0,Old
Maruti Wagon R LXI Minor,2007,80000,120000,Petrol,Individual,Manual,Second Owner,100–150k,18,0.6666666666666666,Old
Hyundai EON D Lite Plus,2013,229999,13500,Petrol,Individual,Manual,First Owner,0–25k,12,17.036962962962964,Old
Renault KWID 1.0 RXT Optional,2017,350000,10000,Petrol,Individual,Manual,First Owner,0–25k,8,35.0,New
Hyundai Grand i10 Magna,2015,325000,25000,Petrol,Individual,Manual,Third Owner,0–25k,10,13.0,Old
Tata Tigor 1.2 Revotron XT,2018,450000,8500,Petrol,Individual,Manual,First Owner,0–25k,7,52.94117647058823,New
Maruti SX4 Celebration Diesel,2012,250000,120000,Diesel,Individual,Manual,First Owner,100–150k,13,2.0833333333333335,Old
Volkswagen Polo Diesel Comfortline 1.2L,2012,225000,120000,Diesel,Individual,Manual,First Owner,100–150k,13,1.875,Old
Maruti Alto LXi,2009,150000,90246,Petrol,Individual,Manual,Third Owner,75–100k,16,1.6621235290206768,Old
Maruti Alto LX BSIII,2008,110000,90000,Petrol,Individual,Manual,Second Owner,75–100k,17,1.2222222222222223,Old
Maruti Alto LXi BSIII,2010,150000,40000,Petrol,Individual,Manual,Second Owner,25–50k,15,3.75,Old
Maruti Gypsy King Hard Top,2000,165000,60000,Petrol,Individual,Manual,Fourth & Above Owner,50–75k,25,2.75,Old
Renault Duster 85PS Diesel RxL,2017,610000,32000,Diesel,Individual,Manual,Second Owner,25–50k,8,19.0625,New
Tata Manza Club Class Quadrajet90 VX,2013,170000,60400,Diesel,Individual,Manual,First Owner,50–75k,12,2.814569536423841,Old
Hyundai Verna CRDi,2008,150000,70950,Diesel,Individual,Manual,Second Owner,50–75k,17,2.1141649048625792,Old
Hyundai i20 Asta 1.4 CRDi,2013,300000,90000,Diesel,Individual,Manual,First Owner,75–100k,12,3.3333333333333335,Old
Hyundai Xcent 1.1 CRDi Base,2015,375000,72000,Diesel,Individual,Manual,First Owner,50–75k,10,5.208333333333333,Old
Maruti Swift VDI,2013,390000,90000,Diesel,Individual,Manual,First Owner,75–100k,12,4.333333333333333,Old
Hyundai i20 Active 1.2 S,2017,600000,10000,Petrol,Individual,Manual,First Owner,0–25k,8,60.0,New
Maruti Alto 800 LXI,2014,204999,25000,Petrol,Individual,Manual,Second Owner,0–25k,11,8.19996,Old
Hyundai Verna CRDi,2009,270000,80000,Diesel,Individual,Manual,Second Owner,75–100k,16,3.375,Old
Hyundai Grand i10 Sportz,2017,375000,10000,Petrol,Individual,Manual,First Owner,0–25k,8,37.5,New
Maruti Baleno Zeta,2020,700000,1100,Petrol,Individual,Manual,First Owner,0–25k,5,636.3636363636364,New
Maruti Swift VXI Deca,2017,455000,40000,Petrol,Individual,Manual,First Owner,25–50k,8,11.375,New
Hyundai i10 Sportz 1.1L,2017,375000,10000,Petrol,Individual,Manual,First Owner,0–25k,8,37.5,New
Hyundai Grand i10 Asta,2014,341000,31491,Petrol,Individual,Manual,First Owner,25–50k,11,10.82849067987679,Old
Maruti Swift Dzire VDI,2014,200000,107143,Diesel,Individual,Manual,Second Owner,100–150k,11,1.8666641777810964,Old
Maruti Ignis 1.2 AMT Delta BSIV,2017,450000,15000,Petrol,Individual,Automatic,First Owner,0–25k,8,30.0,New
Hyundai Santro Xing GL Plus,2012,170000,50000,Petrol,Individual,Manual,Second Owner,25–50k,13,3.4,Old
Toyota Innova Crysta 2.4 VX MT 8S BSIV,2017,1900000,100000,Diesel,Individual,Manual,First Owner,75–100k,8,19.0,New
Mahindra Bolero Power Plus LX,2016,500000,60000,Diesel,Individual,Manual,First Owner,50–75k,9,8.333333333333334,New
Maruti Vitara Brezza ZDi Plus,2016,819999,85000,Diesel,Individual,Manual,First Owner,75–100k,9,9.64704705882353,New
Maruti Swift 1.2 DLX,2014,351000,40000,Petrol,Individual,Manual,Second Owner,25–50k,11,8.775,Old
Hyundai i10 Magna 1.2 iTech SE,2011,195000,80000,Petrol,Individual,Manual,Second Owner,75–100k,14,2.4375,Old
Maruti Swift Dzire VDi,2008,250000,82000,Diesel,Individual,Manual,Second Owner,75–100k,17,3.048780487804878,Old
Maruti Zen Estilo 1.1 VXI BSIII,2008,120000,70000,Petrol,Individual,Manual,Second Owner,50–75k,17,1.7142857142857142,Old
Maruti A-Star Vxi,2009,180000,70000,Petrol,Individual,Manual,Third Owner,50–75k,16,2.5714285714285716,Old
Mahindra KUV 100 mFALCON D75 K6,2016,430000,20000,Diesel,Individual,Manual,First Owner,0–25k,9,21.5,New
Tata Nano Cx BSIV,2012,75000,35000,Petrol,Individual,Manual,Second Owner,25–50k,13,2.142857142857143,Old
Mahindra Xylo D4,2017,750000,80000,Diesel,Individual,Manual,First Owner,75–100k,8,9.375,New
Tata Nano Lx,2011,60000,40000,Petrol,Individual,Manual,First Owner,25–50k,14,1.5,Old
Toyota Innova 2.5 VX (Diesel) 8 Seater,2015,1500000,46412,Diesel,Individual,Manual,First Owner,25–50k,10,32.319227785917434,Old
Mahindra Bolero SLX 2WD BSIII,2011,390000,150000,Diesel,Individual,Manual,Fourth & Above Owner,100–150k,14,2.6,Old
Mahindra TUV 300 T4,2016,630000,50000,Diesel,Individual,Manual,First Owner,25–50k,9,12.6,New
Tata Safari Storme VX Varicor 400,2018,1085000,15000,Diesel,Individual,Manual,First Owner,0–25k,7,72.33333333333333,New
Hyundai i10 Magna 1.2 iTech SE,2012,190000,60000,Petrol,Individual,Manual,Second Owner,50–75k,13,3.1666666666666665,Old
Maruti Baleno Delta Automatic,2018,550000,25000,Petrol,Individual,Automatic,First Owner,0–25k,7,22.0,New
Maruti Alto 800 LXI,2012,200000,90000,Petrol,Individual,Manual,Third Owner,75–100k,13,2.2222222222222223,Old
Chevrolet Spark 1.0 LT,2011,165000,60000,Petrol,Individual,Manual,First Owner,50–75k,14,2.75,Old
Ford Figo Diesel Celebration Edition,2013,260000,65000,Diesel,Individual,Manual,First Owner,50–75k,12,4.0,Old
Maruti Alto LX,2011,151000,40000,Petrol,Individual,Manual,First Owner,25–50k,14,3.775,Old
Maruti Vitara Brezza VDi,2018,780000,50000,Diesel,Individual,Manual,First Owner,25–50k,7,15.6,New
Tata Indica Vista Quadrajet LX,2012,175000,80000,Diesel,Individual,Manual,Third Owner,75–100k,13,2.1875,Old
Tata Indica Vista TDI LS,2010,170000,107500,Diesel,Dealer,Manual,First Owner,100–150k,15,1.5813953488372092,Old
Tata Indica Vista TDI LS,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,100–150k,12,1.5555555555555556,Old
Maruti Alto LXi,2007,90000,43826,Petrol,Dealer,Manual,Second Owner,25–50k,18,2.053575503125998,Old
Hyundai i20 Active S Petrol,2016,535000,55838,Petrol,Dealer,Manual,First Owner,50–75k,9,9.581288728106308,New
Maruti Swift VDI BSIV,2007,195000,112880,Diesel,Dealer,Manual,First Owner,100–150k,18,1.7274982282069453,Old
Tata Indica Vista Terra Quadrajet 1.3L,2011,140000,90000,Diesel,Individual,Manual,Third Owner,75–100k,14,1.5555555555555556,Old
Nissan Sunny XL,2012,350000,40000,Petrol,Individual,Manual,First Owner,25–50k,13,8.75,Old
Hyundai Verna 1.6 SX VTVT (O),2013,425000,66000,Petrol,Individual,Manual,First Owner,50–75k,12,6.4393939393939394,Old
Renault KWID 1.0 RXT Optional,2017,300000,30300,Petrol,Individual,Manual,First Owner,25–50k,8,9.900990099009901,New
Volkswagen Vento Diesel Style Limited Edition,2013,340000,85000,Diesel,Individual,Manual,Second Owner,75–100k,12,4.0,Old
Maruti Swift Dzire VXi,2009,250000,80659,Petrol,Dealer,Manual,First Owner,75–100k,16,3.0994681312686745,Old
Chevrolet Aveo 1.4 LS,2008,170000,81324,Petrol,Dealer,Manual,First Owner,75–100k,17,2.0904038168314396,Old
Honda Amaze S i-Dtech,2013,315000,127884,Diesel,Dealer,Manual,First Owner,100–150k,12,2.463169747583748,Old
Chevrolet Beat PS,2015,200000,50000,Petrol,Individual,Manual,First Owner,25–50k,10,4.0,Old
Chevrolet Beat PS,2016,300000,25000,Petrol,Individual,Manual,First Owner,0–25k,9,12.0,New
Honda Amaze S i-Dtech,2015,300000,66755,Diesel,Dealer,Manual,First Owner,50–75k,10,4.494045389858438,Old
Honda City E,2013,380000,123084,Petrol,Dealer,Manual,First Owner,100–150k,12,3.08732247895746,Old
Maruti Swift VXI BSIII,2009,250000,806599,Petrol,Dealer,Manual,First Owner,,16,0.3099433547524854,Old
Honda Amaze S i-Dtech,2013,310000,95851,Diesel,Dealer,Manual,First Owner,75–100k,12,3.234186393464857,Old
Maruti Wagon R VXI Minor ABS,2010,260000,50000,Petrol,Individual,Manual,First Owner,25–50k,15,5.2,Old
Maruti Omni BSIII 8-STR W/ IMMOBILISER,2008,150000,50000,Petrol,Individual,Manual,Second Owner,25–50k,17,3.0,Old
Maruti Esteem Vxi - BSIII,2006,85000,60000,Petrol,Individual,Manual,Second Owner,50–75k,19,1.4166666666666667,Old
Maruti Alto 800 LXI,2015,280000,15000,Petrol,Individual,Manual,Second Owner,0–25k,10,18.666666666666668,Old
Mahindra Xylo H4 ABS,2016,850000,40000,Diesel,Individual,Manual,First Owner,25–50k,9,21.25,New
Datsun GO Plus T Option BSIV,2017,375000,20000,Petrol,Individual,Manual,Second Owner,0–25k,8,18.75,New
Hyundai Elantra CRDi (Leather Option),2006,125000,120000,Diesel,Individual,Manual,Third Owner,100–150k,19,1.0416666666666667,Old
Chevrolet Beat Diesel LT,2012,250000,110000,Diesel,Individual,Manual,First Owner,100–150k,13,2.272727272727273,Old
Toyota Corolla Altis D-4D J,2014,715000,234000,Diesel,Individual,Manual,First Owner,200k+,11,3.0555555555555554,Old
Hyundai i20 1.4 CRDi Era,2011,220000,70000,Diesel,Individual,Manual,First Owner,50–75k,14,3.142857142857143,Old
Tata Indica Vista Aqua 1.3 Quadrajet,2010,110000,110000,Diesel,Individual,Manual,Second Owner,100–150k,15,1.0,Old
Hyundai Verna XXi (Petrol),2007,150000,84000,Petrol,Individual,Manual,Second Owner,75–100k,18,1.7857142857142858,Old
Nissan Sunny Diesel XV,2012,300000,170000,Diesel,Individual,Manual,First Owner,150–200k,13,1.7647058823529411,Old
Datsun RediGO T Option,2017,220000,40000,Petrol,Individual,Manual,First Owner,25–50k,8,5.5,New
Maruti Wagon R LX,2006,75000,96000,Petrol,Individual,Manual,Second Owner,75–100k,19,0.78125,Old
Tata Indigo LS,2009,100000,20000,Diesel,Individual,Manual,First Owner,0–25k,16,5.0,Old
Ford Figo Aspire 1.2 Ti-VCT Trend,2016,380000,15000,Petrol,Individual,Manual,First Owner,0–25k,9,25.333333333333332,New
Hyundai Santro Xing XK (Non-AC),2007,100000,50000,Petrol,Individual,Manual,First Owner,25–50k,18,2.0,Old
Volkswagen Passat 1.8 TSI MT,2010,480000,80000,Petrol,Individual,Manual,Second Owner,75–100k,15,6.0,Old
Toyota Etios GD,2012,300000,124000,Diesel,Individual,Manual,First Owner,100–150k,13,2.4193548387096775,Old
Chevrolet Beat Diesel LS,2013,190000,70000,Diesel,Individual,Manual,First Owner,50–75k,12,2.7142857142857144,Old
Ford Figo Diesel LXI,2012,190000,130000,Diesel,Individual,Manual,Second Owner,100–150k,13,1.4615384615384615,Old
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,2017,650000,19014,Petrol,Dealer,Manual,First Owner,0–25k,8,34.18533712001683,New
Toyota Corolla Executive (HE),2009,300000,23262,Petrol,Dealer,Manual,First Owner,0–25k,16,12.896569512509672,Old
Ford Freestyle Titanium Diesel BSIV,2016,700000,29600,Diesel,Dealer,Manual,First Owner,25–50k,9,23.64864864864865,New
Hyundai i10 Sportz 1.1L,2015,310000,35925,Petrol,Dealer,Manual,First Owner,25–50k,10,8.629088378566458,Old
Maruti Ignis 1.2 Zeta BSIV,2018,500000,12000,Petrol,Individual,Manual,First Owner,0–25k,7,41.666666666666664,New
Toyota Etios V,2013,415000,40771,Petrol,Dealer,Manual,First Owner,25–50k,12,10.178803561354885,Old
Maruti Celerio VXI AT,2015,395000,30500,Petrol,Dealer,Automatic,Second Owner,25–50k,10,12.950819672131148,Old
Toyota Etios Liva 1.2 G,2014,430000,42000,Petrol,Dealer,Manual,Second Owner,25–50k,11,10.238095238095237,Old
Toyota Corolla H6,2007,215000,55800,Petrol,Dealer,Manual,Second Owner,50–75k,18,3.8530465949820787,Old
Renault Duster RXL AWD,2014,550000,66569,Diesel,Dealer,Manual,First Owner,50–75k,11,8.26210398233412,Old
Volkswagen Polo 1.5 TDI Trendline,2014,415000,81358,Diesel,Dealer,Manual,First Owner,75–100k,11,5.100912018486197,Old
Volkswagen Polo 1.5 TDI Comfortline,2015,450000,82695,Diesel,Dealer,Manual,First Owner,75–100k,10,5.441683294032288,Old
Ford Figo Diesel EXI,2014,285000,68293,Diesel,Dealer,Manual,Second Owner,50–75k,11,4.1731949101664885,Old
Honda Jazz VX CVT,2016,580000,32000,Petrol,Dealer,Automatic,First Owner,25–50k,9,18.125,New
Maruti Swift Dzire Tour LDI,2014,300000,190621,Diesel,Dealer,Manual,First Owner,150–200k,11,1.5738035158770545,Old
Hyundai Verna CRDi 1.6 SX Option,2018,1200000,60000,Diesel,Individual,Manual,First Owner,50–75k,7,20.0,New
Maruti 800 Std MPFi,2006,78000,64700,Petrol,Individual,Manual,First Owner,50–75k,19,1.205564142194745,Old
Maruti 800 AC,2002,65000,100000,Petrol,Individual,Manual,Second Owner,75–100k,23,0.65,Old
Tata Zest Quadrajet 1.3 75PS XE,2016,400000,88470,Diesel,Individual,Manual,First Owner,75–100k,9,4.521306657624053,New
Hyundai Verna 1.6 CRDI SX Option,2016,850000,75000,Diesel,Individual,Manual,First Owner,50–75k,9,11.333333333333334,New
Volkswagen Vento Diesel Highline,2013,450000,120000,Diesel,Individual,Manual,Second Owner,100–150k,12,3.75,Old
Mercedes-Benz E-Class E250 CDI Blue Efficiency,2012,2500000,35000,Diesel,Individual,Automatic,First Owner,25–50k,13,71.42857142857143,Old
Toyota Etios 1.4 VXD,2017,780000,70000,Diesel,Individual,Manual,First Owner,50–75k,8,11.142857142857142,New
Toyota Fortuner 2.8 2WD AT BSIV,2017,3200000,57000,Diesel,Individual,Automatic,First Owner,50–75k,8,56.14035087719298,New
Maruti Alto 800 VXI,2020,350000,1000,Petrol,Individual,Manual,First Owner,0–25k,5,350.0,New
Mahindra Quanto C6,2013,285000,120000,Diesel,Individual,Manual,Second Owner,100–150k,12,2.375,Old
Volkswagen Vento 1.5 TDI Highline,2015,525000,98000,Diesel,Dealer,Manual,First Owner,75–100k,10,5.357142857142857,Old
Maruti Ciaz ZDi,2014,550000,90000,Diesel,Dealer,Manual,Second Owner,75–100k,11,6.111111111111111,Old
Volkswagen Ameo 1.5 TDI Comfortline,2018,580000,70000,Diesel,Individual,Manual,First Owner,50–75k,7,8.285714285714286,New
Tata Nano CX SE,2013,75000,25000,Petrol,Individual,Manual,Third Owner,0–25k,12,3.0,Old
Tata Manza Aura Quadrajet,2009,185000,60000,Diesel,Individual,Manual,Third Owner,50–75k,16,3.0833333333333335,Old
Maruti Omni E 8 Str STD,2007,110000,90000,Petrol,Individual,Manual,Fourth & Above Owner,75–100k,18,1.2222222222222223,Old
Honda City 1.5 EXI,2004,180000,200000,Petrol,Individual,Manual,Second Owner,150–200k,21,0.9,Old
Volkswagen Polo Diesel Comfortline 1.2L,2010,350000,110000,Diesel,Individual,Manual,Second Owner,100–150k,15,3.1818181818181817,Old
Chevrolet Optra 1.6 LS,2005,60000,126000,Petrol,Individual,Manual,Second Owner,100–150k,20,0.47619047619047616,Old
Mahindra TUV 300 T10,2018,695000,70000,Diesel,Individual,Manual,First Owner,50–75k,7,9.928571428571429,New
Mahindra Alturas G4 4X2 AT BSIV,2019,2700000,5000,Diesel,Individual,Automatic,First Owner,0–25k,6,540.0,New
Maruti Zen Estilo LX BSIII,2007,135000,74183,Petrol,Individual,Manual,Second Owner,50–75k,18,1.8198239488831673,Old
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,640000,70000,Diesel,Individual,Manual,Second Owner,50–75k,10,9.142857142857142,Old
Maruti Alto 800 VXI,2014,160000,90000,Petrol,Individual,Manual,First Owner,75–100k,11,1.7777777777777777,Old
Tata Indica LXI,2004,80000,46000,Petrol,Individual,Manual,Second Owner,25–50k,21,1.7391304347826086,Old
Maruti Swift Dzire VDI,2013,340000,110000,Diesel,Individual,Manual,Second Owner,100–150k,12,3.090909090909091,Old
Maruti Ritz VDi,2012,110000,80000,Diesel,Individual,Manual,Second Owner,75–100k,13,1.375,Old
Tata Sumo Gold EX,2013,250000,90000,Diesel,Individual,Manual,Second Owner,75–100k,12,2.7777777777777777,Old
Toyota Innova Crysta 2.4 VX MT BSIV,2017,1300000,70000,Diesel,Individual,Manual,First Owner,50–75k,8,18.571428571428573,New
Mahindra Quanto C6,2014,250000,1,Diesel,Individual,Manual,Second Owner,0–25k,11,250000.0,Old
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009,450000,192000,Diesel,Individual,Manual,First Owner,150–200k,16,2.34375,Old
Maruti Wagon R LX Minor,2013,240000,70000,Petrol,Individual,Manual,Fourth & Above Owner,50–75k,12,3.4285714285714284,Old
Mahindra Bolero DI DX 7 Seater,2007,225000,120000,Diesel,Individual,Manual,Second Owner,100–150k,18,1.875,Old
